,sgns_rand_pinit3,sgns_rand_pinit2,sgns_rand_pinit2
,sgns_rand_pinit4,sgns_rand_pinit3,sgns_rand_pinit4
,,,
"!align=""right",1.0000000000000002,1,1
!colspan=12,0.99999999999999978,1,1
!colspan=9,0.99999999999999978,1,1
"""a",0.99999999999999989,1.0000001192092896,1.0000001192092896
"""all",0.99999999999999933,1,1
"""as",0.99999999999999978,0.99999988079071045,0.99999988079071045
"""at",1,1.0000001192092896,1.0000001192092896
"""empire",1,0.9999997615814209,0.9999997615814209
"""first",0.99999999999999978,0.99999988079071045,0.99999988079071045
"""for",0.99999999999999944,0.99999988079071045,0.99999988079071045
"""i",1,0.99999994039535522,0.99999994039535522
"""if",0.99999999999999989,1.0000001192092896,1.0000001192092896
"""in",0.99999999999999989,0.99999982118606567,0.99999982118606567
"""it",1,1,1
"""love",0.99999999999999967,0.9999997615814209,0.9999997615814209
"""my",0.99999999999999967,1,1
"""no",1,0.99999982118606567,0.99999982118606567
"""note",1,1,1
"""on",0.99999999999999978,1,1
"""p",1,0.99999988079071045,0.99999988079071045
"""saturday",0.99999999999999944,0.99999994039535522,0.99999994039535522
"""see",0.99999999999999944,1.0000001192092896,1.0000001192092896
"""source",1.0000000000000004,1,1
"""t",1.0000000000000004,1.0000001192092896,1.0000001192092896
"""the",1,0.99999988079071045,0.99999988079071045
"""this",1,1.0000001192092896,1.0000001192092896
"""to",1,1,1
"""we",0.99999999999999989,1,1
"""you",1,0.99999988079071045,0.99999988079071045
(1,1.0000000000000007,0.99999970197677612,0.99999970197677612
0,1,1,1
0-0,1,0.99999994039535522,0.99999994039535522
0.0,1,1,1
0.01,0.99999999999999989,1,1
0.02,0.99999999999999989,1,1
0.03,1,1.0000001192092896,1.0000001192092896
0.04,1.0000000000000004,0.99999988079071045,0.99999988079071045
0.05,1.0000000000000004,0.99999988079071045,0.99999988079071045
0.06,1,0.99999994039535522,0.99999994039535522
0.07,1.0000000000000007,1.0000001192092896,1.0000001192092896
0.08,1,1,1
0.09,1,0.9999997615814209,0.9999997615814209
0.1,1.0000000000000002,1,1
0.10,0.99999999999999989,0.9999997615814209,0.9999997615814209
0.11,1,1.0000001192092896,1.0000001192092896
0.12,0.99999999999999978,1.0000001192092896,1.0000001192092896
0.13,1,0.99999994039535522,0.99999994039535522
0.14,0.99999999999999967,0.99999988079071045,0.99999988079071045
0.15,1,0.99999994039535522,0.99999994039535522
0.16,0.99999999999999989,0.99999994039535522,0.99999994039535522
0.17,0.99999999999999989,1,1
0.18,0.99999999999999978,1,1
0.19,1,0.99999988079071045,0.99999988079071045
0.2,1.0000000000000007,0.99999994039535522,0.99999994039535522
0.20,0.99999999999999978,1,1
0.21,1.0000000000000009,1.0000002384185791,1.0000002384185791
0.22,0.99999999999999978,0.9999997615814209,0.9999997615814209
0.23,1,0.99999994039535522,0.99999994039535522
0.24,0.99999999999999989,0.99999988079071045,0.99999988079071045
0.25,0.99999999999999967,0.99999994039535522,0.99999994039535522
0.27,1.0000000000000002,1,1
0.29,1,0.99999988079071045,0.99999988079071045
0.3,0.99999999999999967,1.0000001192092896,1.0000001192092896
0.30,1,1,1
0.32,1.0000000000000002,1,1
0.34,1,1,1
0.35,0.99999999999999989,1,1
0.36,0.99999999999999978,0.99999994039535522,0.99999994039535522
0.39,0.99999999999999956,1,1
0.4,1,1,1
0.5,0.99999999999999956,1,1
0.6,1,0.99999988079071045,0.99999988079071045
0.7,1,1.0000001192092896,1.0000001192092896
0.75,1,1,1
0.8,0.99999999999999978,1.0000001192092896,1.0000001192092896
0.9,1.0000000000000002,1.0000001192092896,1.0000001192092896
00,0.99999999999999978,1.0000001192092896,1.0000001192092896
000,1,0.99999970197677612,0.99999970197677612
01,1,1.0000001192092896,1.0000001192092896
02,1,1,1
03,1.0000000000000004,1,1
04,0.99999999999999956,0.99999994039535522,0.99999994039535522
05,0.99999999999999978,0.99999988079071045,0.99999988079071045
06,0.99999999999999978,0.99999988079071045,0.99999988079071045
07,0.99999999999999978,0.9999997615814209,0.9999997615814209
08,1,1,1
09,0.99999999999999956,0.99999988079071045,0.99999988079071045
1,1,0.99999994039535522,0.99999994039535522
1's,1,0.99999994039535522,0.99999994039535522
"1,000",0.99999999999999978,0.9999997615814209,0.9999997615814209
"1,000,000",1.0000000000000004,0.99999994039535522,0.99999994039535522
"1,100",1.0000000000000007,0.99999994039535522,0.99999994039535522
"1,200",1.0000000000000004,0.99999982118606567,0.99999982118606567
"1,300",1.0000000000000004,1.0000002384185791,1.0000002384185791
"1,400",0.99999999999999989,0.9999995231628418,0.9999995231628418
"1,500",0.99999999999999978,0.99999982118606567,0.99999982118606567
"1,600",1.0000000000000004,1,1
"1,700",1.0000000000000002,1.0000001192092896,1.0000001192092896
"1,800",1.0000000000000004,1,1
"1,900",1.0000000000000002,1,1
1-0,1.0000000000000002,0.99999988079071045,0.99999988079071045
1-1,1,0.99999988079071045,0.99999988079071045
1-2,0.99999999999999967,1,1
1-3,1.0000000000000004,1.0000001192092896,1.0000001192092896
1-4,1,1.0000002384185791,1.0000002384185791
1-5,1,0.99999958276748657,0.99999958276748657
1-6,1,1.0000002384185791,1.0000002384185791
1-yard,0.99999999999999978,1,1
1.0,0.99999999999999978,0.99999994039535522,0.99999994039535522
1.00,0.99999999999999978,0.99999988079071045,0.99999988079071045
1.1,1.0000000000000004,0.99999988079071045,0.99999988079071045
1.2,1,0.99999988079071045,0.99999988079071045
1.25,0.99999999999999978,1,1
1.3,1,0.99999988079071045,0.99999988079071045
1.4,1.0000000000000004,1.0000001192092896,1.0000001192092896
1.5,1.0000000000000009,1.0000001192092896,1.0000001192092896
1.6,1.0000000000000002,0.99999994039535522,0.99999994039535522
1.6km,1.0000000000000002,1,1
1.7,0.99999999999999978,0.99999988079071045,0.99999988079071045
1.8,0.99999999999999989,1,1
1.9,0.99999999999999978,1.0000001192092896,1.0000001192092896
1/2,1.0000000000000004,1.0000002384185791,1.0000002384185791
1/2-story,1,0.99999988079071045,0.99999988079071045
1/3,1.0000000000000004,1.0000001192092896,1.0000001192092896
1/4,0.99999999999999922,0.99999994039535522,0.99999994039535522
10,1.0000000000000004,0.99999994039535522,0.99999994039535522
"10,000",0.99999999999999933,1,1
10-12,0.99999999999999989,1.0000003576278687,1.0000003576278687
10-day,1.0000000000000004,1.0000002384185791,1.0000002384185791
10-minute,1,1,1
10-year,0.99999999999999978,0.99999994039535522,0.99999994039535522
10.0,0.99999999999999922,0.99999988079071045,0.99999988079071045
10.1,0.99999999999999989,1,1
10.2,0.99999999999999978,1,1
10.3,0.99999999999999989,0.99999988079071045,0.99999988079071045
10.4,1.0000000000000004,1,1
10.5,1.0000000000000002,1,1
10.6,0.99999999999999978,1,1
10.7,1,1,1
10.8,0.99999999999999967,0.99999994039535522,0.99999994039535522
10.9,0.99999999999999956,1,1
100,1,1,1
"100,000",0.99999999999999978,0.99999970197677612,0.99999970197677612
100-meter,0.99999999999999978,1.0000001192092896,1.0000001192092896
100.0,0.99999999999999978,0.99999994039535522,0.99999994039535522
1000,0.99999999999999967,1,1
10000,1,1,1
1001,1,1,1
100km,1.0000000000000002,1.0000001192092896,1.0000001192092896
100m,1.0000000000000007,1,1
100th,1.0000000000000007,0.99999988079071045,0.99999988079071045
101,0.99999999999999989,0.99999988079071045,0.99999988079071045
1012,0.99999999999999944,1,1
1015,1.0000000000000002,0.99999994039535522,0.99999994039535522
101st,0.99999999999999978,0.99999994039535522,0.99999994039535522
102,1.0000000000000004,1,1
1020,1.0000000000000002,1.0000002384185791,1.0000002384185791
103,1,1,1
103rd,1,0.99999994039535522,0.99999994039535522
104,1.0000000000000002,0.99999982118606567,0.99999982118606567
104th,1.0000000000000002,1,1
105,1.0000000000000004,0.99999988079071045,0.99999988079071045
1050,1.0000000000000002,1,1
106,1.0000000000000009,0.99999994039535522,0.99999994039535522
1066,1.0000000000000002,1,1
107,1.0000000000000004,1,1
108,1,0.99999988079071045,0.99999988079071045
