rougher	savannah	chang
rough	!align="right	!align="right
roughest	nominations	nominations
rough	!align="right	!align="right
rougher	!align="right	!align="right
roughest	!align="right	!align="right
meaner	understand	chang
mean	!align="right	!align="right
meanest	chang	chang
mean	!align="right	!align="right
meaner	!align="right	!align="right
meanest	!align="right	!align="right
heavier	turbines	turbines
heavy	hms	hms
heaviest	turbines	turbines
heavy	!align="right	!align="right
heavier	!align="right	!align="right
heaviest	ski	ski
mightier	romanized	romanized
mighty	!align="right	!align="right
mightiest	semifinals	chang
mighty	!align="right	!align="right
mightier	!align="right	!align="right
mightiest	!align="right	!align="right
noisier	!align="right	!align="right
noisy	!align="right	!align="right
noisiest	!align="right	!align="right
noisy	!align="right	!align="right
noisier	!align="right	!align="right
noisiest	!align="right	!align="right
worse	risks	risks
bad	laura	laura
worst	weakness	weakness
bad	teenagers	teenagers
worse	gear	gear
worst	apart	apart
sadder	excited	protocols
sad	!align="right	!align="right
saddest	perfectly	perfectly
sad	!align="right	!align="right
sadder	!align="right	!align="right
saddest	!align="right	!align="right
wilder	birds	pro
wild	!align="right	!align="right
wildest	lady	lady
wild	!align="right	!align="right
wilder	!align="right	!align="right
wildest	!align="right	!align="right
stricter	births	births
strict	!align="right	!align="right
strictest	weakness	weakness
strict	!align="right	!align="right
stricter	!align="right	!align="right
strictest	!align="right	!align="right
narrower	oxide	rna
narrow	!align="right	!align="right
narrowest	perfectly	perfectly
narrow	!align="right	!align="right
narrower	!align="right	!align="right
narrowest	!align="right	!align="right
classier	!align="right	!align="right
classy	!align="right	!align="right
classiest	!align="right	!align="right
classy	!align="right	!align="right
classier	!align="right	!align="right
classiest	!align="right	!align="right
earlier	julian	julian
early	johannes	johannes
earliest	arguably	arguably
early	built	built
earlier	germanic	germanic
earliest	elena	elena
fatter	aaa	aaa
fat	!align="right	!align="right
fattest	ricky	ricky
fat	!align="right	!align="right
fatter	!align="right	!align="right
fattest	!align="right	!align="right
fuller	autonomy	autonomy
full	sculptor	sculptor
fullest	casting	casting
full	!align="right	!align="right
fuller	!align="right	!align="right
