rougher	harder	harder
rough	!align="left	!align="left
roughest	award	category
rough	!align="left	!align="left
rougher	!align="left	!align="left
roughest	!align="left	!align="left
meaner	higher	slightly
mean	!align="left	!align="left
meanest	category	category
mean	!align="left	!align="left
meaner	!align="left	!align="left
meanest	!align="left	!align="left
heavier	heavier	self-propelled
heavy	heavy	heavy
heaviest	category	category
heavy	happy	happy
heavier	higher	higher
heaviest	lightest	lightest
mightier	one-shot	one-shot
mighty	!align="left	!align="left
mightiest	award	semifinalist
mighty	!align="left	!align="left
mightier	!align="left	!align="left
mightiest	!align="left	!align="left
noisier	increasingly	increasingly
noisy	!align="left	!align="left
noisiest	award	category
noisy	!align="left	!align="left
noisier	!align="left	!align="left
noisiest	!align="left	!align="left
worse	better	better
bad	school	school
worst	stupid	stupid
bad	dreadful	dreadful
worse	worse	worse
worst	lowest	honesty
sadder	trnava	trnava
sad	!align="left	!align="left
saddest	trnava	actions
sad	!align="left	!align="left
sadder	!align="left	!align="left
saddest	!align="left	!align="left
wilder	chimpanzee	chimpanzee
wild	school	drive-in
wildest	deadliest	raccoons
wild	!align="left	!align="left
wilder	!align="left	!align="left
wildest	tommy	tommy
stricter	strictly	strictly
strict	school	school
strictest	stricter	stricter
strict	!align="left	!align="left
stricter	!align="left	!align="left
strictest	restrictions	tenth
narrower	width	width
narrow	narrow	narrow
narrowest	narrowest	narrowest
narrow	co-educational	co-educational
narrower	wider	wider
narrowest	narrow	narrow
classier	!align="left	!align="left
classy	!align="left	!align="left
classiest	!align="left	!align="left
classy	!align="left	!align="left
classier	!align="left	!align="left
classiest	!align="left	!align="left
earlier	late	late
early	never	never
earliest	late	late
early	dating	non-human
earlier	2300	2300
earliest	eleventh	eleventh
fatter	grams	grams
fat	!align="left	!align="left
fattest	mini-album	mini-album
fat	!align="left	!align="left
fatter	!align="left	!align="left
fattest	!align="left	!align="left
fuller	require	require
full	taylor	taylor
fullest	top	update
full	impart	impart
fuller	higher	medford
fullest	roy	roy
costlier	cost	cost
costly	!align="left	!align="left
costliest	myocardial	myocardial
costly	!align="left	!align="left
costlier	!align="left	!align="left
costliest	!align="left	!align="left
tougher	upper	upper
tough	heavy	heavy
toughest	beaten	beaten
tough	unknown	unknown
tougher	upper	upper
toughest	single-player	single-player
gentler	upper	upper
gentle	!align="left	!align="left
gentlest	modus	modus
gentle	!align="left	!align="left
gentler	!align="left	!align="left
gentlest	!align="left	!align="left
shorter	upper	shorter
short	short	short
shortest	longest	longest
short	daylight	daylight
shorter	upper	upper
shortest	longest	longest
softer	upper	upper
soft	rover	rover
softest	peppers	peppers
soft	!align="left	!align="left
softer	!align="left	!align="left
softest	connective	connective
older	upper	upper
old	2.97	2.97
oldest	older	arad
old	antiquary	unknown
older	upper	located
oldest	2.97	2.97
richer	deeper	deeper
rich	rich	rich
richest	richest	richest
rich	rich	rich
richer	more	better
richest	richest	richest
weaker	weaker	weaker
weak	swells	swells
weakest	strongest	strongest
weak	loki	loki
weaker	weaker	weaker
weakest	most-watched	most-watched
prettier	really	stax
pretty	!align="left	!align="left
prettiest	longest	longest
pretty	!align="left	!align="left
prettier	!align="left	!align="left
prettiest	!align="left	!align="left
cooler	warm	brighter
cool	drier	drier
coolest	driest	driest
cool	understory	understory
cooler	slightly	slightly
coolest	warmest	warmest
luckier	quicker	quicker
lucky	!align="left	!align="left
luckiest	longest	longest
lucky	!align="left	!align="left
luckier	!align="left	!align="left
luckiest	!align="left	!align="left
lighter	lighter	lighter
light	powder	powder
lightest	chlorophyll	optometry
light	unstressed	restrained
lighter	3.11	denser
lightest	largest	largest
shorter	shorter	shorter
short	short	resumes
shortest	longest	longest
short	interregnum	interregnum
shorter	logarithmic	logarithmic
shortest	longest	longest
fewer	many	many
few	least	least
fewest	most	most
few	confessing	confessing
fewer	2.97	2.97
fewest	largest	largest
sharper	flatter	flatter
sharp	faulkner	faulkner
sharpest	sharpened	foremost
sharp	!align="left	!align="left
sharper	!align="left	!align="left
sharpest	largest	largest
taller	taller	taller
tall	skyline	skyline
tallest	tallest	tallest
tall	tower	tower
taller	20.0	20.0
tallest	tallest	tallest
smoother	elliptic	elliptic
smooth	compress	compress
smoothest	symmetry	symmetry
smooth	!align="left	!align="left
smoother	!align="left	!align="left
smoothest	compress	compress
nicer	grandeur	grandeur
nice	!align="left	!align="left
nicest	we'll	regionals
nice	!align="left	!align="left
nicer	!align="left	!align="left
nicest	!align="left	!align="left
broader	broader	higher
broad	film-making	film-making
broadest	thoroughbreds	thoroughbreds
broad	large	narrow
broader	broader	broader
broadest	terminology	terminology
savvier	payoff	payoff
savvy	!align="left	!align="left
savviest	semi-finalist	semi-finalist
savvy	!align="left	!align="left
savvier	!align="left	!align="left
savviest	!align="left	!align="left
greater	greater	opposites
great	growing	growing
greatest	finest	finest
great	numerous	numerous
greater	larger	much
greatest	ideal	ideal
wilder	wolves	wolves
wild	nobody's	nobody's
wildest	subspecies	subspecies
wild	!align="left	!align="left
wilder	!align="left	!align="left
wildest	sommer	sommer
smoother	concave	concave
smooth	mellow	mellow
smoothest	convex	convex
smooth	!align="left	!align="left
smoother	!align="left	!align="left
smoothest	vibrato	vibrato
