model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google-cosadd,google-cosmul,msr-cosadd,msr-cosmul
PPMI,0.604096418876,0.535030030027,0.155706921315,0.634061868458,-0.0520840303724,0.188121486311,0.268624641834,0.26775480966,0.10775,0.114
SVD,0.697709676862,0.605744903175,0.235671801866,0.578390836608,0.103407451782,0.258937976655,0.233831354892,0.250562832583,0.114625,0.116
SGNSpinit1,0.554892963346,0.462824095377,0.178933704826,0.602013234638,-0.0265480181802,0.195496890253,0.13584731887,0.120497339337,0.078125,0.065
SGNSpinit2,0.567950323362,0.478128187061,0.184175634788,0.57944300553,-0.021951646728,0.194872910492,0.134465820712,0.117939009415,0.079,0.0625
SGNSpinit3,0.554771005695,0.46605672571,0.183332018933,0.590581019507,-0.0216677373342,0.197050700138,0.13323782235,0.117632009824,0.07775,0.063
SGNSsvd,0.582611785187,0.50312004551,0.190139418277,0.593097848182,-0.00303164185154,0.205592341792,0.153090462546,0.138098649202,0.08925,0.073375
SGNSpinit1-rev,0.571558117633,0.478962873887,0.174795725864,0.572126306617,0.0018093627966,0.2142684991,0.132981989357,0.119832173557,0.0805,0.064375
SGNSpinit2-rev,0.577150952021,0.476462563127,0.177619840345,0.568790588451,-0.00260202424109,0.209041059984,0.135591485878,0.120906672124,0.073625,0.0595
SGNSpinit3-rev,0.58699436924,0.482283997522,0.178210354826,0.591455753911,-6.29172641286e-05,0.208618113349,0.134619320508,0.119627507163,0.075875,0.06225
SGNSsvd-rev,0.610887307834,0.529502298725,0.194670332451,0.583917706072,-0.00251436238719,0.204519611359,0.153192795743,0.136256651658,0.09325,0.074625
