iraq	abbasid	abbasid
thailand	thailand	thailand
china	china	hong
germany	germany	germany
switzerland	baden	baden
egypt	egypt	egypt
australia	australia	australia
vietnam	vietnam	vietnam
cuba	cuba	cuba
finland	denmark	denmark
pakistan	portugal	papua
afghanistan	bulgaria	sayyid
england	england	england
spain	spain	spain
russia	bulgaria	ukraine
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	iran	qatari
japan	japan	japan
thailand	thailand	thailand
china	korea	korea
germany	germany	germany
switzerland	tps	tps
egypt	kuwait	lebanon
australia	australia	australia
vietnam	vietnam	vietnam
cuba	cuba	cuba
finland	finland	finland
pakistan	afghanistan	afghanistan
afghanistan	afghanistan	afghanistan
england	edinburgh	edinburgh
spain	bilbao	honduras
russia	afghanistan	romania
norway	norway	norway
canada	ontario	canada
france	france	burundi
italy	roman	roman
sweden	sweden	norway
iran	iran	iran
japan	korea	korea
greece	greece	greece
china	china	china
germany	germany	germany
switzerland	hesse	hesse
egypt	egyptian	egyptian
australia	queensland	queensland
vietnam	phu	phu
cuba	cuba	cuba
finland	finland	finland
pakistan	sri	sri
afghanistan	bangladesh	bangladesh
england	england	england
spain	paraguay	paraguay
russia	russia	russia
norway	norway	norway
canada	ontario	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	greece	greece
iraq	saudi	saudi
germany	germany	germany
switzerland	swiss	swiss
egypt	egypt	egypt
australia	australia	australia
vietnam	vietnam	vietnam
cuba	cuba	cuba
finland	karelia	karelia
pakistan	pakistan	pakistan
afghanistan	cambodia	cambodia
england	england	england
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	ontario	canada
france	france	france
italy	naples	naples
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	albania	albania
iraq	egypt	egypt
thailand	thailand	thailand
switzerland	switzerland	switzerland
egypt	egypt	egypt
australia	australia	australia
vietnam	taiwan	taiwan
cuba	cuba	cuba
finland	finland	finland
pakistan	pakistan	pakistan
afghanistan	pakistan	pakistan
england	england	england
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	ontario	ontario
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	greece	greece
iraq	egypt	egypt
thailand	thailand	thailand
china	china	china
egypt	tunisia	tunisia
australia	sydney	sydney
vietnam	singapore	singapore
cuba	cuba	cuba
finland	finland	finland
pakistan	bangladesh	bangladesh
afghanistan	bangladesh	bangladesh
england	england	england
spain	barcelona	barcelona
russia	russia	russia
norway	norway	norway
canada	ontario	ontario
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	greece	greece
iraq	kurds	kurds
thailand	thailand	thailand
china	singapore	singapore
germany	germany	germany
australia	australia	australia
vietnam	vietnam	vietnam
cuba	cuba	cuban
finland	finland	finland
pakistan	persians	persians
afghanistan	herat	herat
england	britain	britain
spain	paraguay	paraguay
russia	russian	russian
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	romans
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	greece	greece
iraq	abbasid	abbasid
thailand	thailand	vietnam
china	china	china
germany	italy	italy
switzerland	swiss	swiss
vietnam	china	china
cuba	cuba	cuba
finland	finland	finland
pakistan	pakistan	pakistan
afghanistan	pakistan	pakistan
england	britain	britain
spain	spain	spain
russia	russia	russia
norway	norway	norway
canada	canada	canada
france	france	france
italy	italy	italy
sweden	sweden	sweden
iran	pakistan	pakistan
japan	japan	japan
greece	greece	greece
iraq	morocco	morocco
thailand	thailand	thailand
china	china	china
germany	germany	germany
switzerland	switzerland	switzerland
egypt	egypt	egypt
cuba	cuba	cuba
finland	finland	finland
pakistan	iraq	bangladesh
afghanistan	afghanistan	afghanistan
england	england	england
spain	spain	spain
russia	soviet	russia
norway	norway	norway
canada	ontario	ontario
france	france	france
italy	sicily	sicily
sweden	sweden	sweden
iran	iran	iran
japan	japan	japan
greece	greece	olympics
iraq	iraq	iraq
thailand	cambodia	thailand
china	korea	korea
germany	waffen-ss	waffen-ss
switzerland	switzerland	switzerland
egypt	egypt	egypt
australia	australia	australia
finland	finland	finland
pakistan	musharraf	musharraf
afghanistan	chadian	shi
england	britain	britain
spain	salvador	salvador
russia	russia	russia
norway	norway	norway
canada	ontario	ontario
france	france	france
