rougher	much	much
rough	!	!
roughest	award	re-released
rough	!	!
rougher	!	!
roughest	!	!
meaner	we	we
mean	!	!
meanest	award	is
mean	!	!
meaner	!	!
meanest	!	!
heavier	vehicle	vehicle
heavy	but	rockets
heaviest	awards	artillery
heavy	!	!
heavier	!	!
heaviest	award	rockets
mightier	band	band
mighty	!	!
mightiest	awards	awards
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	that	that
bad	he	he
worst	good	good
bad	.	this
worse	have	review
worst	hit	disappointing
sadder	really	myself
sad	!	!
saddest	chart	charts
sad	!	!
sadder	!	!
saddest	!	!
wilder	birds	birds
wild	!	!
wildest	birds	birds
wild	!	!
wilder	!	!
wildest	!	!
stricter	standards	standards
strict	!	!
strictest	violation	violation
strict	!	!
stricter	!	!
strictest	!	!
narrower	width	width
narrow	!	!
narrowest	top	top
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	different	different
early	was	was
earliest	late	songs
early	of	of
earlier	are	are
earliest	song	song
fatter	consumption	consumption
fat	!	!
fattest	songs	reggae
fat	!	!
fatter	!	!
fattest	!	!
fuller	different	different
full	he	greg
fullest	songs	songs
full	!	!
fuller	!	!
fullest	song	starring
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	other	bad
tough	!	!
toughest	bad	braves
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	a	a
short	not	not
shortest	top	top
short	!	!
shorter	!	!
shortest	length	mm
softer	other	dense
soft	!	!
softest	top	sweet
soft	!	!
softer	!	!
softest	!	!
older	of	west
old	who	but
oldest	top	top
old	is	building
older	of	west
oldest	65	65
richer	four	this
rich	!	!
richest	in	in
rich	!	!
richer	!	!
richest	!	!
weaker	can	can
weak	!	!
weakest	pakistan	pakistan
weak	!	!
weaker	!	!
weakest	!	!
prettier	'm	stuff
pretty	!	!
prettiest	you	aired
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	humid	temperate
cool	!	!
coolest	warm	subtropical
cool	!	!
cooler	!	!
coolest	!	!
luckier	're	rachel
lucky	!	!
luckiest	2008	debut
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	with	with
light	which	plate
lightest	is	manufacture
light	!	!
lighter	!	!
lightest	forewings	shapes
shorter	with	with
short	which	1
shortest	a	a
short	!	!
shorter	!	!
shortest	length	bells
fewer	many	many
few	its	100
fewest	all	one
few	!	!
fewer	!	!
fewest	in	consecutive
sharper	age	skin
sharp	!	!
sharpest	flat	flat
sharp	!	!
sharper	!	!
sharpest	!	!
taller	height	diameter
tall	!	!
tallest	height	height
tall	tower	floors
taller	age	tall
tallest	!	!
smoother	dorsal	dorsal
smooth	!	!
smoothest	_	_
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	know	know
nice	!	!
nicest	vector	algebraic
nice	!	!
nicer	!	!
nicest	!	!
broader	long	long
broad	of	of
broadest	vector	vector
broad	!	!
broader	!	!
broadest	linear	linear
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	that	that
great	of	to
greatest	the	the
great	was	band
greater	which	band
greatest	_	density
wilder	for	moths
wild	!	!
wildest	!	!
wild	can	can
wilder	to	to
wildest	!	!
smoother	are	are
smooth	!	!
smoothest	!	!
smooth	can	can
smoother	to	to
smoothest	!	!
mightier	disco	disco
mighty	!	!
mightiest	!	!
mighty	can	can
mightier	to	to
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	can	can
leaner	to	to
leanest	!	!
cleaner	sheets	sheets
clean	!	!
cleanest	!	!
clean	can	can
cleaner	to	to
cleanest	!	!
narrower	forewings	thick
narrow	!	!
narrowest	forewings	forewings
narrow	!	!
narrower	!	!
narrowest	!	!
colder	mild	mild
cold	!	!
coldest	cool	cool
cold	!	!
colder	!	!
coldest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	that	that
deep	of	shallow
deepest	beneath	above
deep	!	!
deeper	!	!
deepest	shallow	shallow
taller	height	inches
tall	!	!
tallest	height	perennial
tall	was	building
taller	building	building
tallest	!	!
quicker	elder	faster
quick	!	!
quickest	elder	td
quick	!	!
quicker	!	!
quickest	!	!
narrower	forewings	thickness
narrow	!	!
narrowest	forewings	rectangular
narrow	!	!
narrower	!	!
narrowest	!	!
deeper	deeper	deeper
deep	deep	deep
deepest	deeper	tunnel
deep	!	!
deeper	!	!
deepest	deep	land
closer	near	of
close	a	on
closest	elder	elder
close	as	not
closer	as	some
closest	first	phillies
taller	height	height
tall	!	!
tallest	height	height
tall	tree	tall
taller	street	peaks
tallest	!	!
kinder	not	not
kind	!	!
kindest	streak	fun
kind	!	!
kinder	!	!
kindest	!	!
heavier	aircraft	aircraft
heavy	heavy	heavy
heaviest	consecutive	consecutive
heavy	!	!
heavier	!	!
heaviest	streak	streak
mightier	ducks	they
mighty	!	!
mightiest	consecutive	nhl
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
smarter	devices	devices
smart	!	!
smartest	streak	record
smart	!	!
smarter	!	!
smartest	!	!
milder	temperatures	temperatures
mild	!	!
mildest	temperatures	precipitation
mild	!	!
milder	!	!
mildest	!	!
weaker	often	often
weak	!	!
weakest	this	this
weak	!	!
weaker	!	!
weakest	!	!
friendlier	match	copa
friendly	!	!
friendliest	against	copa
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	!	!
lively	!	!
liveliest	!	!
lively	!	!
livelier	!	!
liveliest	!	!
younger	who	father
young	his	niece
youngest	who	best
young	daughter	aunt
younger	daughter	father
youngest	who	niece
clearer	disease	disease
clear	!	!
clearest	!	!
clear	were	all
clearer	more	more
clearest	!	!
friendlier	match	wins
friendly	!	!
friendliest	!	!
friendly	were	all
friendlier	more	more
friendliest	!	!
cleaner	emissions	emissions
clean	!	!
cleanest	!	!
clean	were	all
cleaner	more	more
cleanest	!	!
stronger	stronger	stronger
strong	his	you
strongest	!	!
strong	were	rates
stronger	population	rates
strongest	!	!
freer	members	welfare
free	!	!
freest	!	!
free	were	all
freer	more	more
freest	!	!
tougher	exploitation	exploitation
tough	!	!
toughest	billboard	rival
tough	!	!
tougher	!	!
toughest	!	!
funnier	want	want
funny	!	!
funniest	want	album
funny	!	!
funnier	!	!
funniest	!	!
nicer	creature	creature
nice	!	!
nicest	d	album
nice	!	!
nicer	!	!
nicest	!	!
greater	of	of
great	with	with
greatest	of	of
great	's	's
greater	be	be
greatest	with	with
bolder	colors	reduces
bold	!	!
boldest	formed	revolutionary
bold	!	!
bolder	!	!
boldest	!	!
poorer	even	even
poor	!	!
poorest	saw	presumed
poor	!	!
poorer	!	!
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	which	which
long	they	so
longest	the	one
long	long	long
longer	streak	fin
longest	this	2002
harder	you	'll
hard	with	sudden
hardest	album	album
hard	!	!
harder	!	!
hardest	country	buddy
wiser	everything	everything
wise	!	!
wisest	rabbi	rabbi
wise	!	!
wiser	!	!
wisest	!	!
earlier	late	late
early	by	by
earliest	late	late
early	by	original
earlier	original	original
earliest	that	1960s
sadder	're	're
sad	!	!
saddest	're	're
sad	!	!
sadder	!	!
saddest	!	!
darker	pale	pale
dark	forewings	forewings
darkest	pale	pale
dark	!	!
darker	!	!
darkest	forewings	pale
quicker	up	up
quick	!	!
quickest	did	did
quick	!	!
quicker	!	!
quickest	!	!
brighter	pale	stripes
bright	!	!
brightest	pale	pale
bright	!	!
brighter	!	!
brightest	!	!
cheaper	this	this
cheap	!	!
cheapest	!	!
cheap	are	are
cheaper	this	this
cheapest	!	!
higher	school	grew
high	are	are
highest	!	!
high	lowest	steep
higher	higher	higher
highest	!	!
fairer	this	sued
fair	!	!
fairest	!	!
fair	are	are
fairer	this	this
fairest	!	!
wiser	learn	learn
wise	!	!
wisest	!	!
wise	are	are
wiser	this	this
wisest	!	!
taller	height	height
tall	!	!
tallest	!	!
tall	rounded	rounded
taller	cascade	cascade
tallest	!	!
poorer	that	that
poor	!	!
poorest	!	!
poor	you	you
poorer	to	to
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	you	you
messier	to	to
messiest	!	!
busier	planned	planned
busy	!	!
busiest	!	!
busy	you	you
busier	to	to
busiest	!	!
taller	height	diameter
tall	!	!
tallest	!	!
tall	tall	tall
taller	granite	housing
tallest	!	!
trickier	!	!
tricky	!	!
trickiest	!	!
tricky	you	you
trickier	to	to
trickiest	!	!
higher	!	!
high	low	increasing
highest	!	!
high	higher	higher
higher	the	the
highest	education	are
slower	!	!
slow	difficult	difficult
slowest	!	!
slow	that	that
slower	!	!
slowest	can	can
smarter	!	!
smart	that	that
smartest	!	!
smart	that	that
smarter	!	!
smartest	!	!
older	!	!
old	65	64
oldest	!	!
old	historic	1878
older	in	in
oldest	age	who
stronger	!	!
strong	closer	frustrated
strongest	!	!
strong	strong	strong
stronger	as	as
strongest	be	be
cheaper	!	!
cheap	not	that
cheapest	!	!
cheap	not	that
cheaper	!	!
cheapest	!	!
classier	!	!
classy	not	that
classiest	!	!
classy	not	that
classier	!	!
classiest	!	!
bloodier	!	!
bloody	not	that
bloodiest	!	!
bloody	not	that
bloodier	!	!
bloodiest	!	!
wilder	!	!
wild	not	that
wildest	!	!
wild	not	that
wilder	!	!
wildest	!	!
easier	!	!
easy	maintenance	maintenance
easiest	!	!
easy	not	that
easier	!	!
easiest	to	to
rougher	layer	layer
