iraq	!	!
thailand	!	!
china	bulgaria	bulgaria
germany	bosnia	bosnia
switzerland	!	!
egypt	italy	italy
australia	!	!
vietnam	!	!
cuba	!	!
finland	!	!
pakistan	!	!
afghanistan	!	!
england	italy	ireland
spain	italy	italy
russia	bosnia	bosnia
norway	bulgaria	bulgaria
canada	bulgaria	mississippi
france	italy	france
italy	italy	italy
sweden	netherlands	netherlands
iran	!	!
japan	bulgaria	bulgaria
thailand	afghanistan	afghanistan
china	afghanistan	afghanistan
germany	afghanistan	afghanistan
switzerland	afghanistan	afghanistan
egypt	afghanistan	afghanistan
australia	afghanistan	afghanistan
vietnam	afghanistan	afghanistan
cuba	afghanistan	afghanistan
finland	afghanistan	afghanistan
pakistan	afghanistan	afghanistan
afghanistan	afghanistan	afghanistan
england	afghanistan	afghanistan
spain	afghanistan	afghanistan
russia	afghanistan	afghanistan
norway	afghanistan	afghanistan
canada	afghanistan	afghanistan
france	afghanistan	afghanistan
italy	afghanistan	afghanistan
sweden	afghanistan	afghanistan
iran	afghanistan	afghanistan
japan	afghanistan	afghanistan
greece	afghanistan	afghanistan
china	singapore,	singapore,
germany	indonesia,	munich
switzerland	thailand,	thailand,
egypt	singapore,	vietnam,
australia	thailand,	thailand,
vietnam	thailand,	thailand,
cuba	thailand,	thailand,
finland	thailand,	thailand,
pakistan	thailand,	thailand,
afghanistan	thailand,	thailand,
england	singapore,	singapore,
spain	singapore,	vietnam,
russia	korea,	korea,
norway	singapore,	singapore,
canada	indonesia,	indonesia,
france	philippines	philippines
italy	iran,	iran,
sweden	korea,	korea,
iran	thailand,	thailand,
japan	singapore,	singapore,
greece	singapore,	singapore,
iraq	thailand,	thailand,
germany	germany	germany
switzerland	!	!
egypt	sri	sri
australia	!	!
vietnam	!	!
cuba	!	!
finland	!	!
pakistan	!	!
afghanistan	!	!
england	london,	belfast
spain	lanka	lanka
russia	china.	germany
norway	asia.	asia.
canada	mississippi	mississippi
france	france	france
italy	italy	italy
sweden	philharmonic	philharmonic
iran	!	!
japan	japan	japan
greece	china.	china.
iraq	!	!
thailand	!	!
switzerland	!	!
egypt	italy	italy
australia	!	!
vietnam	!	!
cuba	!	!
finland	!	!
pakistan	!	!
afghanistan	!	!
england	italy	italy
spain	italy	italy
russia	poland	poland
norway	italy	hungary.
canada	hungary	hungary
france	france	france
italy	italy	italy
sweden	italy	norway
iran	!	!
japan	poland	poland
greece	italy	italy
iraq	!	!
thailand	!	!
china	italy	italy
egypt	france,	france,
australia	austria,	austria,
vietnam	austria,	austria,
cuba	austria,	austria,
finland	austria,	austria,
pakistan	austria,	austria,
afghanistan	austria,	austria,
england	london.	london.
spain	france,	france,
russia	france,	france,
norway	belgium	belgium
canada	france,	france,
france	belgium	france,
italy	italy	italy
sweden	france,	france,
iran	austria,	austria,
japan	france,	france,
greece	france,	france,
iraq	austria,	austria,
thailand	austria,	austria,
china	france,	france,
germany	france,	france,
australia	!	!
vietnam	!	!
cuba	!	!
finland	!	!
pakistan	!	!
afghanistan	!	!
england	egypt.	egypt.
spain	egypt.	egypt.
russia	syria	syria
norway	egypt.	egypt.
canada	egypt,	egypt,
france	egypt.	egypt.
italy	egypt.	egypt.
sweden	egypt.	egypt.
iran	!	!
japan	egypt.	egypt.
greece	egypt.	egypt.
iraq	!	!
thailand	!	!
china	egypt.	korea.
germany	egypt.	palestine
switzerland	!	!
vietnam	australia.	australia.
cuba	australia.	australia.
finland	australia.	australia.
pakistan	australia.	australia.
afghanistan	australia.	australia.
england	sydney	india
spain	india	india
russia	australia.	australia.
norway	india	india
canada	australia.	india
france	india	india
italy	india	india
sweden	australia.	melbourne
iran	australia.	australia.
japan	india	india
greece	india	india
iraq	australia.	australia.
thailand	australia.	australia.
china	india	india
germany	india	india
switzerland	australia.	australia.
egypt	africa	africa
cuba	vietnam,	vietnam,
finland	vietnam,	vietnam,
pakistan	vietnam,	vietnam,
afghanistan	vietnam,	vietnam,
england	london,	sydney
spain	vietnam,	vietnam,
russia	iraq	iraq
norway	afghanistan	afghanistan
canada	vietnam,	vietnam,
france	vienna	iraq
italy	iraq	iraq
sweden	iraq	iraq
iran	vietnam,	vietnam,
japan	vietnam,	vietnam,
greece	vietnam,	afghanistan
iraq	vietnam,	vietnam,
thailand	vietnam,	vietnam,
china	shanghai	shanghai
germany	seoul	vienna
