model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google-cosadd,google-cosmul,msr-cosadd,msr-cosmul
PPMI,0.704142440958,0.672594187629,0.241814804795,0.657681933026,0.115547055717,0.335642158429,0.50527015964,0.565595579206,0.23175,0.292875
SVD,0.746099785726,0.651920164496,0.265412094271,0.530842994679,0.235644274084,0.34114149481,0.358012689316,0.388661481785,0.17925,0.191375
SGNSpinit1,0.754243792778,0.688748488533,0.274641239474,0.695134204748,0.157789148783,0.386916120421,0.62863282849,0.642038477282,0.454,0.48375
SGNSpinit2,0.756364075043,0.68798922282,0.272254570602,0.693800588138,0.155076779873,0.390230627423,0.626534997953,0.638252148997,0.450375,0.484875
SGNSpinit3,0.755423719817,0.687175964878,0.273701425716,0.696872424493,0.15098736274,0.390319244602,0.62633033156,0.637893982808,0.453125,0.48425
SGNSsvd,0.741805425129,0.68605712592,0.274693215872,0.693356387707,0.145991744729,0.389785663868,0.62893982808,0.639582480557,0.45175,0.479625
SGNSpinit1-rev,0.737014706166,0.682299041848,0.27452961734,0.691062536679,0.148993280156,0.406719711635,0.627251330332,0.638968481375,0.455,0.48075
SGNSpinit2-rev,0.74333179883,0.67938233667,0.274124694211,0.692630183459,0.151413930862,0.399771841967,0.630372492837,0.642550143266,0.45725,0.484125
SGNSpinit3-rev,0.743169693353,0.694062598636,0.274457020401,0.689490067152,0.155378480991,0.402340729103,0.630884158821,0.64111747851,0.454125,0.4845
SGNSsvd-rev,0.752118489546,0.692392214066,0.27590294902,0.691124217082,0.144512098562,0.397629900061,0.62663733115,0.636358984855,0.451375,0.48325
