rougher	!	!
rough	!	!
roughest	!	!
rough	!	!
rougher	!	!
roughest	!	!
meaner	elevation	elevation
mean	!	!
meanest	temperature	temperature
mean	!	!
meaner	!	!
meanest	!	!
heavier	requires	requires
heavy	!	!
heaviest	worst	worst
heavy	!	!
heavier	!	!
heaviest	!	!
mightier	!	!
mighty	!	!
mightiest	!	!
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	that's	that's
bad	!	!
worst	top	that's
bad	school	school
worse	copper	copper
worst	!	!
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
wilder	older.	older.
wild	!	!
wildest	endemic	animal
wild	!	!
wilder	!	!
wildest	!	!
stricter	!	!
strict	!	!
strictest	!	!
strict	!	!
stricter	!	!
strictest	!	!
narrower	wide	extent
narrow	!	!
narrowest	longest	longest
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	late	late
early	next	next
earliest	late	late
early	powered	powered
earlier	powered	powered
earliest	previous	previous
fatter	!	!
fat	!	!
fattest	!	!
fat	!	!
fatter	!	!
fattest	!	!
fuller	limited	limited
full	!	!
fullest	maximum	maximum
full	!	!
fuller	!	!
fullest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	!	!
tough	!	!
toughest	!	!
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	upper	upper
short	!	!
shortest	horror	horror
short	!	!
shorter	!	!
shortest	!	!
softer	upper	upper
soft	!	!
softest	gmina	gmina
soft	!	!
softer	!	!
softest	!	!
older	upper	upper
old	youngest	youngest
oldest	manor	number
old	partial	partial
older	upper	world's
oldest	35	35
richer	guide	guide
rich	!	!
richest	longest	longest
rich	!	!
richer	!	!
richest	!	!
weaker	award.	award.
weak	!	!
weakest	longest	longest
weak	!	!
weaker	!	!
weakest	!	!
prettier	!	!
pretty	!	!
prettiest	!	!
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	!	!
cool	!	!
coolest	!	!
cool	!	!
cooler	!	!
coolest	!	!
luckier	!	!
lucky	!	!
luckiest	!	!
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	younger	colour
light	!	!
lightest	manuscript	manuscript
light	!	!
lighter	!	!
lightest	!	!
shorter	younger	younger
short	!	!
shortest	longest	longest
short	!	!
shorter	!	!
shortest	!	!
fewer	several	several
few	households	households
fewest	several	several
few	!	!
fewer	!	!
fewest	numerous	numerous
sharper	!	!
sharp	!	!
sharpest	!	!
sharp	!	!
sharper	!	!
sharpest	!	!
taller	younger	younger
tall	!	!
tallest	above	above
tall	!	!
taller	!	!
tallest	!	!
smoother	!	!
smooth	!	!
smoothest	!	!
smooth	large	large
smoother	larger	larger
smoothest	!	!
nicer	!	!
nice	!	!
nicest	!	!
nice	large	large
nicer	larger	larger
nicest	!	!
broader	wide	better
broad	!	!
broadest	!	!
broad	large	large
broader	larger	larger
broadest	!	!
savvier	!	!
savvy	!	!
savviest	!	!
savvy	large	large
savvier	larger	larger
savviest	!	!
greater	greatest	greatest
great	large	large
greatest	!	!
great	large	large
greater	larger	biggest
greatest	!	!
wilder	!	!
wild	herself	herself
wildest	!	!
wild	herself	herself
wilder	!	!
wildest	!	!
smoother	!	!
smooth	herself	herself
smoothest	!	!
smooth	herself	herself
smoother	!	!
smoothest	!	!
mightier	!	!
mighty	herself	herself
mightiest	!	!
mighty	herself	herself
mightier	!	!
mightiest	!	!
leaner	!	!
lean	herself	herself
leanest	!	!
lean	herself	herself
leaner	!	!
leanest	!	!
cleaner	!	!
clean	herself	herself
cleanest	!	!
clean	herself	herself
cleaner	!	!
cleanest	!	!
narrower	)	)
narrow	!	!
narrowest	connecting	connecting
narrow	!	!
narrower	!	!
narrowest	!	!
colder	revolutionary	revolutionary
cold	!	!
coldest	iran.	iran.
cold	!	!
colder	!	!
coldest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	them,	them,
deep	!	!
deepest	document	document
deep	!	!
deeper	!	!
deepest	!	!
taller	later.	added
tall	!	!
tallest	height	height
tall	!	!
taller	!	!
tallest	!	!
quicker	!	!
quick	!	!
quickest	!	!
quick	!	!
quicker	!	!
quickest	!	!
narrower	elder	bill
narrow	!	!
narrowest	longest	longest
narrow	!	!
narrower	!	!
narrowest	!	!
deeper	water,	water,
deep	!	!
deepest	managing	managing
deep	!	!
deeper	!	!
deepest	!	!
closer	older	older
close	back	back
closest	managing	managing
close	!	!
closer	!	!
closest	away.	away.
taller	elder	elder
tall	!	!
tallest	managing	managing
tall	!	!
taller	!	!
tallest	!	!
kinder	spend	land,
kind	!	!
kindest	largest	largest
kind	!	!
kinder	!	!
kindest	!	!
heavier	severe	land,
heavy	!	!
heaviest	largest	closing
heavy	!	!
heavier	!	!
heaviest	!	!
mightier	!	!
mighty	!	!
mightiest	!	!
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
smarter	!	!
smart	!	!
smartest	!	!
smart	!	!
smarter	!	!
smartest	!	!
milder	!	!
mild	good	good
mildest	!	!
mild	!	!
milder	!	!
mildest	best	best
weaker	!	!
weak	good	good
weakest	best	best
weak	!	!
weaker	!	!
weakest	best	best
friendlier	!	!
friendly	good	good
friendliest	best	playoff
friendly	!	!
friendlier	!	!
friendliest	best	best
livelier	!	!
lively	good	good
liveliest	!	!
lively	!	!
livelier	!	!
liveliest	best	best
younger	!	!
young	youngest	youngest
youngest	best	best
young	younger	younger
younger	!	!
youngest	youngest	youngest
clearer	accurate	accurate
clear	!	!
clearest	!	!
clear	several	several
clearer	than	than
clearest	!	!
friendlier	first-class	first-class
friendly	!	!
friendliest	!	!
friendly	several	several
friendlier	than	than
friendliest	!	!
cleaner	less	less
clean	!	!
cleanest	!	!
clean	several	several
cleaner	than	than
cleanest	!	!
stronger	widespread	widespread
strong	!	!
strongest	!	!
strong	several	several
stronger	than	than
strongest	!	!
freer	less	less
free	!	!
freest	!	!
free	several	several
freer	than	than
freest	!	!
tougher	!	!
tough	powerful	powerful
toughest	!	!
tough	!	!
tougher	!	!
toughest	greatest	greatest
funnier	!	!
funny	powerful	powerful
funniest	!	!
funny	!	!
funnier	!	!
funniest	greatest	greatest
nicer	!	!
nice	powerful	powerful
nicest	!	!
nice	!	!
nicer	!	!
nicest	greatest	greatest
greater	!	!
great	twin	twin
greatest	greatest	greatest
great	magic	magic
greater	!	!
greatest	largest	largest
bolder	!	!
bold	powerful	powerful
boldest	!	!
bold	!	!
bolder	!	!
boldest	greatest	greatest
poorer	!	!
poor	good	good
poorest	!	!
poor	good	good
poorer	!	!
poorest	!	!
messier	!	!
messy	good	good
messiest	!	!
messy	good	good
messier	!	!
messiest	!	!
longer	!	!
long	no	no
longest	!	!
long	largest	prisoners
longer	largest	largest
longest	no	no
harder	!	!
hard	good	good
hardest	!	!
hard	good	good
harder	!	!
hardest	!	!
wiser	!	!
wise	good	good
wisest	!	!
wise	good	good
wiser	!	!
wisest	!	!
earlier	late	late
early	later.	later.
earliest	!	!
early	oldest	oldest
earlier	back	back
earliest	!	!
sadder	!	!
sad	!	!
saddest	!	!
sad	between	between
sadder	back	back
saddest	!	!
darker	skin	skin
dark	!	!
darkest	!	!
dark	between	between
darker	back	back
darkest	!	!
quicker	!	!
quick	!	!
quickest	!	!
quick	between	between
quicker	back	back
quickest	!	!
brighter	yellow	yellow
bright	!	!
brightest	!	!
bright	between	between
brighter	back	back
brightest	!	!
cheaper	!	!
cheap	wide	wide
cheapest	!	!
cheap	wide	wide
cheaper	!	!
cheapest	!	!
higher	!	!
high	lower	lower
highest	!	!
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
fairer	!	!
fair	wide	wide
fairest	!	!
fair	wide	wide
fairer	!	!
fairest	!	!
wiser	!	!
wise	wide	wide
wisest	!	!
wise	wide	wide
wiser	!	!
wisest	!	!
taller	!	!
tall	wide	wide
tallest	!	!
tall	wide	wide
taller	!	!
tallest	!	!
poorer	!	!
poor	difficult	difficult
poorest	!	!
poor	difficult	difficult
poorer	!	!
poorest	!	!
messier	!	!
messy	difficult	difficult
messiest	!	!
messy	difficult	difficult
messier	!	!
messiest	!	!
busier	!	!
busy	difficult	difficult
busiest	!	!
busy	difficult	difficult
busier	!	!
busiest	!	!
taller	!	!
tall	difficult	difficult
tallest	!	!
tall	difficult	difficult
taller	!	!
tallest	!	!
trickier	!	!
tricky	difficult	difficult
trickiest	!	!
tricky	difficult	difficult
trickier	!	!
trickiest	!	!
higher	school	school
high	lower	lower
highest	school	school
high	lowest	lowest
higher	lowest	lowest
highest	lower	lower
slower	fast	fast
slow	!	!
slowest	fast	fast
slow	!	!
slower	!	!
slowest	!	!
smarter	!	!
smart	!	!
smartest	!	!
smart	!	!
smarter	!	!
smartest	!	!
older	manor	manor
old	younger	younger
oldest	manor	manor
old	surviving	surviving
older	surviving	surviving
oldest	younger	younger
stronger	good	good
strong	!	!
strongest	good	good
strong	!	!
stronger	!	!
strongest	!	!
cheaper	!	!
cheap	passage	passage
cheapest	!	!
cheap	passage	passage
cheaper	!	!
cheapest	!	!
classier	!	!
classy	passage	passage
classiest	!	!
classy	passage	passage
classier	!	!
classiest	!	!
bloodier	!	!
