model,ws353sim,ws353rel,brunimen,radinskyturk,luongrare,hillsimlex,google_cosadd,google_cosmul,msr_cosadd,msr_cosmul
wc_SGNSpinit1.tsv,0.23932367292928486,0.36068815537325677,0.09759849818070893,0.47899784294208203,-0.028613614192066903,0.08125712269490125,0.0268624641834,0.0230249693,0.010125,0.009
wc_SGNSpinit3-rev.tsv,0.2430826608253929,0.37486578909838925,0.09724550197006743,0.45584960536784874,-0.014373698720740822,0.08798608513559505,0.0247646336472,0.0210806385591,0.008,0.0065
eig_SVD_w2.tsv,0.3981921573425812,0.48182499021928915,0.16871812310265674,0.4660167203797615,0.031143476670966595,0.12590393327403648,0.130116659844,0.134261154318,0.041875,0.038125
wc_SGNSpinit1-rev.tsv,0.24085527283626282,0.3756706575471246,0.09737379638290593,0.4548999837515152,-0.02217062273480063,0.09168984083153381,0.0243041342612,0.0208759721654,0.008,0.00675
neg_PPMI_w2.tsv,0.2818216006026416,0.44885197795817505,0.08827917430661134,0.5002081857401722,-0.0508307519306667,0.07250922986013941,0.108626688498,0.104021694638,0.045375,0.037875
wc_SGNSpinit2-rev.tsv,0.23863077193461055,0.3721220218655855,0.09558914065044906,0.4549787789479942,-0.022509087501033503,0.08953222439063845,0.0249181334425,0.0210806385591,0.00775,0.005875
wc_SGNSpinit3.tsv,0.23564841057003327,0.35436757079054093,0.09750863339360785,0.47600549177145823,-0.02848394381449423,0.08408434841516983,0.02762996316,0.0229738027016,0.01,0.009
wc_SGNSsvd.tsv,0.2731495115911711,0.4172735636662101,0.10276769673351291,0.44240173207376304,-0.02939625842751652,0.07460256061228357,0.0332071223905,0.0284997953336,0.008,0.006125
wc_SGNSsvd-rev.tsv,0.25690314858166724,0.3985552995328059,0.0947721675977953,0.43848428706741877,-0.028629957445965606,0.07971495662732922,0.0311604584527,0.0274252967663,0.00775,0.00625
wc_SGNSpinit2.tsv,0.23678736658002913,0.3582265805797623,0.09815326841899512,0.4757028171702916,-0.02510873785211218,0.08247802384929917,0.0284486287352,0.0243041342612,0.00975,0.008625
